Version 2
#Deity
Name Astellar~
Rname Астеллар||а|у|а|ом|е|а|ов~
MinAlign 350
MaxAlign 1000
Descr Бог {yМудрости{x, {wСправедливости{x, {mМагии{x и {cВечности{x~
Worship 0
App 2 1 0 0 6 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
END
#Deity
Name Tymothy~
Rname Тимоти||||||||~
MinAlign -350
MaxAlign 350
Descr БогинЯ {YЛунного {WЛика{x, Утренней и Вечерней {MЗари{x~
Worship 0
App 0 0 0 0 14 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
END
#Deity
Name Irenicus~
Rname Ирэникус||а|у|а|ос|е|а|ов~
MinAlign -1000
MaxAlign 0
Descr Бог Черного Мрака, Зависти и Злобы~
Worship 1
App 0 0 0 0 8 3 7 2 0 0 0 0 0 0 0 0 0 0 0 0
END
#Deity
Name Ketsalkoathl~
Rname Кецалькоатл|ь|Я|ю|Я|ем|е|Я|ей~
MinAlign -1000
MaxAlign -360
Descr Бог Злобы и Ненависти ко всему {GЖивому{x~
Worship 4
App 4 1 0 0 8 1 7 2 0 0 0 0 0 0 0 0 0 0 0 0
END
#Deity
Name Mishra~
Rname Мишр|а|ы|е|у|ой|е|ы|~
MinAlign 200
MaxAlign 1000
Descr БогинЯ Таланта, {WСветлых {xИскусств и Умений~
Worship 1
App 0 0 0 0 12 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0
END
#Deity
Name Thanatos~
Rname Танатос||а|у|а|ом|е|а|ов~
MinAlign -1000
MaxAlign -975
Descr Бог {DСмерти{x, Покрова {DНочи{x и {cВечного{x ПокоЯ~
Worship 13
App 3 1 0 0 8 1 7 3 0 0 0 0 0 0 0 0 0 0 0 0
END
#Deity
Name Ignissa~
Rname Игнисс|а|ы|е|у|ой|е|ы|~
MinAlign -1000
MaxAlign 1000
Descr БогинЯ Багрового {RПламени{x, {RОгнЯ{x и {rКрови{x~
Worship 0
App 0 0 0 0 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
END
#Deity
Name Aikanaro~
Rname Айканаро||||||||~
MinAlign -500
MaxAlign 500
Descr Бог Тактики, Стратегии и Искусства БоЯ~
Worship 0
App 5 1 3 1 14 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
END
#Deity
Name Eteiros~
Rname Этэйрос||а|у|а|ом|е|а|ов~
MinAlign -1000
MaxAlign 1000
Descr Бог {RВойны{x, {wУничтожениЯ{x, {DГорЯ{x и Безнадежности~
Worship 4
App 0 0 3 1 13 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
END
#Deity
Name Saboteur~
Rname Саботер||а|у|а|ом|е|а|ов~
MinAlign -1000
MaxAlign 1000
Descr Бог ПознаниЯ, Мудрости и РавновесиЯ~
Worship 22
App 3 1 0 0 12 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
END
#Deity
Name Aularyas~
Rname Аулариас||||||||~
MinAlign 950
MaxAlign 1000
Descr БогинЯ Природы, {GЛесов{x, {CРучьев{x и Лета~
Worship 2
App 3 1 0 0 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
END
#Deity
Name Votan~
Rname Вотан||а|у|а|ом|е|а|ов~
MinAlign -1000
MaxAlign 1000
Descr Бог Гор, Силы, Ремесла и Подземных Копей~
Worship 3
App 5 1 0 0 15 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
END
#Deity
Name Xetharex~
Rname Ксетарекс||а|у|а|ом|е|а|ов~
MinAlign -1000
MaxAlign 500
Descr Бог {rГнева{x, {DМести{x и Безудержной {RЯрости{x~
Worship 2
App 0 0 5 1 13 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
END
#Deity
Name Ligreff~
Rname Лигрефф||а|у|а|ом|е|а|ов~
MinAlign -750
MaxAlign 750
Descr Бог Воровства, Озорства, ВесельЯ и Обмана~
Worship 0
App 4 1 5 1 11 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
END
#Deity
Name Emortarys~
Rname Эмортарис||||||||~
MinAlign -1000
MaxAlign -666
Descr БогинЯ {cВласти {DТьмы{x, ТщеславиЯ и {DТемной{x Магии~
Worship 3
App 2 1 3 1 8 2 7 1 0 0 0 0 0 0 0 0 0 0 0 0
END
#Deity
Name Urza~
Rname Урз|а|ы|е|у|ой|е|ы|ов~
MinAlign -1000
MaxAlign 1000
Descr Бог {CВоздуха{x, {YМолний{x, {cВетров{x и {yУраганов{x~
Worship 2
App 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
END
#Deity
Name Thawneous~
Rname Таунэус||а|у|а|ом|е|а|ов~
MinAlign -1000
MaxAlign 1000
Descr Бог Глубин, {BВодных{x Просторов, {cХолода{x и {WЛьда{x~
Worship 0
App 0 0 0 0 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0
END
#Deity
Name Zagroxer~
Rname Зэгроксер||а|у|а|ом|е|а|ов~
MinAlign -1000
MaxAlign 1000
Descr Бог Темных Пещер, Сил Земли и Тьмы~
Worship 2
App 5 1 0 0 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
END
#END
; Detected and saved 18 deities.
